Unnamed: 0,company,department,employee_id,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,contractor,bonus_adicional,aumento_salario,clave_compuesta,rango_edad
17,Glasses,Support,34,34,31,2,40000.0,24792.91,1,0.1592703113625178,0.8407296886374822,1.0,333.3333333333333,6000.0,Glasses_Support_34,31-40
18,Glasses,Search Engine,40,38,34,5,68196.88887122068,18198.86655808921,3,0.5184004458347973,0.4815995541652028,0.4609238331348601,568.3074072601725,10229.533330683102,Glasses_Search Engine_40,31-40
19,Pear,Sales,26,34,33,1,115645.63379594978,23661.838413646656,2,0.8532997189023115,0.1467002810976885,1.0,963.7136149662482,0.0,Pear_Sales_26,31-40
20,Glasses,Design,1,30,22,7,138211.88412139163,17563.349033475686,3,0.9507018285733752,0.04929817142662485,0.0,1151.765701011597,20731.782618208745,Glasses_Design_1,21-30
21,Cheerper,AI,3,44,40,4,153000.0,24792.91,1,0.7676665177636945,0.23233348223630546,0.0,1275.0,22950.0,Cheerper_AI_3,41-50
22,Cheerper,Support,37,41,38,3,85850.61191778477,20306.7566378958,3,0.053580583438758045,0.946419416561242,0.0024318086021536,715.4217659815398,0.0,Cheerper_Support_37,41-50
23,Cheerper,Support,1,35,26,9,66542.95959845888,24792.91,1,0.0,1.0,0.3563409764935055,554.5246633204907,9981.443939768831,Cheerper_Support_1,31-40
24,Glasses,AI,33,40,39,1,89401.36521758887,14636.832773791111,3,0.4384418049597214,0.5615581950402786,0.6855972341117627,745.0113768132406,0.0,Glasses_AI_33,31-40
25,Pear,Design,70,41,38,2,45963.96144983158,17807.977046704207,2,0.1217980581135952,0.8782019418864048,0.85264116187419,383.0330120819298,0.0,Pear_Design_70,41-50
26,Glasses,Search Engine,26,42,38,4,84410.50318953233,22072.74522151809,2,0.4688249876894719,0.5311750123105281,0.4473698506301291,703.4208599127695,12661.57547842985,Glasses_Search Engine_26,41-50
27,Cheerper,BigData,21,48,45,3,76472.43419193132,13060.177077304088,2,0.6997012917817929,0.3002987082182071,0.9421343843822804,637.270284932761,11470.865128789697,Cheerper_BigData_21,41-50
28,Glasses,Design,66,49,48,2,107986.17424817447,11295.34821417136,3,0.7707806814683877,0.22921931853161226,0.2254118543346287,899.884785401454,0.0,Glasses_Design_66,41-50
29,Pear,Sales,1,35,32,3,119108.6654107971,19921.340347500744,2,0.6414227937599644,0.35857720624003564,0.4535272789176325,992.5722117566426,17866.299811619563,Pear_Sales_1,31-40
30,Glasses,Search Engine,47,33,31,2,88736.54864869641,15927.715198511272,5,0.8008133842770611,0.19918661572293894,0.0133077569464867,739.4712387391368,0.0,Glasses_Search Engine_47,31-40
31,Glasses,Search Engine,1,34,28,5,75299.80430138076,24792.91,1,0.508864017276695,0.4911359827233051,0.9066837640955848,627.498369178173,11294.970645207113,Glasses_Search Engine_1,31-40
32,Pear,Sales,1,37,31,6,110386.55025100196,23377.174336891258,1,0.3819576024330166,0.6180423975669834,0.6304046740213138,919.8879187583498,16557.982537650292,Pear_Sales_1,31-40
33,Glasses,AI,8,30,24,5,105486.2465870522,20334.507553378065,4,0.86758161915679,0.13241838084321,0.0877615347828093,879.0520548921018,15822.936988057829,Glasses_AI_8,21-30
34,Pear,AI,27,34,30,4,91059.78921421502,13354.918165311889,3,0.6373480965073978,0.36265190349260223,0.4360919659632191,758.8315767851253,13658.968382132252,Pear_AI_27,31-40
35,Pear,Design,16,39,39,1,108899.47270773092,23511.43509187012,2,0.466002510897322,0.533997489102678,0.8469399855503901,907.4956058977577,0.0,Pear_Design_16,31-40
36,Cheerper,Support,53,39,37,2,57027.8944043646,23482.439830966345,1,0.220626796131542,0.779373203868458,0.704132911843243,475.23245336970496,8554.18416065469,Cheerper_Support_53,31-40
37,Cheerper,BigData,41,41,36,5,106403.81748563352,9265.654714081602,5,0.8852577148522405,0.11474228514775953,0.0,886.6984790469461,0.0,Cheerper_BigData_41,41-50
38,Glasses,BigData,1,42,34,7,98891.57784374044,9826.200490638706,4,0.5793292050546337,0.4206707949453663,0.0,824.0964820311705,14833.736676561064,Glasses_BigData_1,41-50
39,Glasses,Search Engine,3,30,25,5,91090.64693008504,16359.003362781044,2,0.49676069103914966,0.5032393089608503,0.4159965060872895,759.0887244173754,13663.597039512757,Glasses_Search Engine_3,21-30
40,Glasses,AI,1,30,26,3,125833.25812660527,20269.54581377855,4,0.6342636431074531,0.3657363568925469,0.1407893957426207,1048.6104843883775,0.0,Glasses_AI_1,21-30
41,Cheerper,Search Engine,23,34,24,9,79569.9791674894,13923.19437941106,3,0.14391559498204165,0.8560844050179583,0.0,663.0831597290784,11935.496875123408,Cheerper_Search Engine_23,31-40
42,Glasses,Search Engine,1,30,29,2,93265.04393965426,24792.91,2,0.6912405146056742,0.3087594853943259,0.6113254307300984,777.2086994971188,0.0,Glasses_Search Engine_1,21-30
43,Cheerper,BigData,7,41,37,4,95463.68056814294,18854.90825378793,2,0.3692635462496192,0.6307364537503808,0.4133132963847662,795.5306714011912,14319.552085221441,Cheerper_BigData_7,41-50
44,Glasses,AI,36,44,41,4,99278.1371525309,18677.43715149009,2,0.5718454400768456,0.42815455992315443,0.1489325022654411,827.3178096044243,14891.720572879633,Glasses_AI_36,41-50
45,Glasses,Design,49,46,43,4,66945.91375431523,22358.01358443724,1,0.6840386801057501,0.3159613198942499,0.8733844577775416,557.8826146192936,10041.887063147284,Glasses_Design_49,41-50
46,Glasses,BigData,41,30,24,5,40000.0,23314.23138860186,2,0.3650501079589181,0.6349498920410819,0.8579719353764153,333.3333333333333,6000.0,Glasses_BigData_41,21-30
47,Glasses,AI,1,30,22,8,110570.71208376948,22093.52198539291,1,0.3923555127331142,0.6076444872668858,0.5522224439548997,921.422600698079,16585.60681256542,Glasses_AI_1,21-30
48,Cheerper,BigData,6,30,22,5,88731.54539046138,24792.91,2,0.18491880724969956,0.8150811927503004,0.1707997557395669,739.4295449205115,13309.731808569208,Cheerper_BigData_6,21-30
49,Glasses,AI,8,45,38,7,99422.48137731236,17636.98236375892,2,0.704565397791235,0.2954346022087651,0.4453683092441378,828.5206781442697,14913.372206596854,Glasses_AI_8,41-50
50,Cheerper,Support,1,38,32,6,104722.89729885988,15127.346985017335,3,0.4374924380449745,0.5625075619550255,0.000740972862664,872.6908108238325,15708.434594828981,Cheerper_Support_1,31-40
51,Cheerper,AI,41,30,22,9,92883.28914128248,18571.36743034455,2,0.8665756390900774,0.1334243609099226,0.0,774.0274095106874,13932.493371192371,Cheerper_AI_41,21-30
52,Glasses,Design,1,30,24,5,143174.70480817105,24792.91,1,0.8262537830314164,0.1737462169685836,0.0,1193.1225400680921,21476.20572122566,Glasses_Design_1,21-30
53,Cheerper,Search Engine,28,30,23,7,81701.16203155747,20680.572807586672,3,0.7703450914822396,0.22965490851776038,0.0,680.8430169296456,12255.17430473362,Cheerper_Search Engine_28,21-30
54,Glasses,AI,15,44,42,2,124574.59616907209,21292.3253167426,1,0.5050642739421178,0.49493572605788216,0.1194838949814756,1038.1216347422676,18686.18942536081,Glasses_AI_15,41-50
55,Glasses,BigData,10,31,27,5,70511.2891949609,24711.81562985047,1,0.15723755844393494,0.8427624415560651,0.4756778386301195,587.5940766246742,10576.693379244136,Glasses_BigData_10,31-40
56,Glasses,Search Engine,21,30,24,6,85925.9061212308,19284.87186081854,2,0.4472354287666343,0.5527645712333658,0.2661803624327926,716.0492176769234,12888.88591818462,Glasses_Search Engine_21,21-30
57,Glasses,Design,1,30,22,8,90114.4496371989,18108.01338260873,2,0.6721401927356296,0.32785980726437036,0.4647038719952113,750.9537469766575,13517.167445579833,Glasses_Design_1,21-30
58,Pear,Sales,4,38,33,6,83250.19474184747,16171.567469204816,3,0.4439596444746624,0.5560403555253376,1.0,693.751622848729,12487.52921127712,Pear_Sales_4,31-40
59,Pear,Sales,27,41,39,2,113894.28632205802,24792.91,1,0.7006944422977079,0.29930555770229206,0.9857044172629388,949.1190526838169,17084.1429483087,Pear_Sales_27,41-50
60,Glasses,AI,61,30,26,4,65175.27416372592,9000.0,5,0.593298785242304,0.40670121475769605,0.4233711852013254,543.1272846977159,0.0,Glasses_AI_61,21-30
61,Cheerper,Support,36,35,27,8,54272.33764204208,17672.841887695828,2,0.0,1.0,0.0,452.2694803503507,8140.850646306312,Cheerper_Support_36,31-40
62,Glasses,AI,26,35,28,8,96180.03003437557,21368.78680845911,2,0.6146986014267607,0.3853013985732393,0.0,801.5002502864631,14427.004505156334,Glasses_AI_26,31-40
63,Glasses,AI,56,47,43,4,72063.16185221895,16080.357124716847,3,0.3766886556797074,0.6233113443202927,0.4020026289769091,600.5263487684913,10809.474277832842,Glasses_AI_56,41-50
64,Cheerper,Support,80,35,25,9,40000.0,9000.0,4,0.0,1.0,0.0,333.3333333333333,6000.0,Cheerper_Support_80,31-40
65,Glasses,Search Engine,31,35,30,6,109050.67663298504,9000.0,5,1.0,0.0,0.0,908.7556386082088,0.0,Glasses_Search Engine_31,31-40
66,Cheerper,BigData,46,43,35,7,54285.08755946533,17816.505123310148,2,0.15976041875122315,0.8402395812487768,0.3966705158411965,452.37572966221114,8142.7631339198,Cheerper_BigData_46,41-50
67,Glasses,AI,19,34,31,3,108545.7946115972,24470.90042194161,2,0.5492347086604398,0.4507652913395602,0.0990490816962754,904.5482884299768,16281.869191739579,Glasses_AI_19,31-40
68,Cheerper,Search Engine,1,32,22,9,87123.77857903835,14463.213421843397,3,0.23235464836951047,0.7676453516304895,0.0,726.0314881586529,13068.566786855752,Cheerper_Search Engine_1,31-40
69,Pear,Design,30,46,40,6,107958.93397352842,19917.73563417233,2,0.7087197994085841,0.2912802005914159,0.3602096353220316,899.6577831127369,16193.840096029262,Pear_Design_30,41-50
70,Pear,AI,46,32,29,3,49619.96213615163,13928.65447313072,4,0.2676294618890129,0.7323705381109871,0.6990814565308859,413.4996844679303,0.0,Pear_AI_46,31-40
71,Cheerper,Support,76,49,48,2,40000.0,23904.649903078927,2,0.17556386801938784,0.8244361319806122,0.8962401915527987,333.3333333333333,0.0,Cheerper_Support_76,41-50
72,Cheerper,Support,4,30,22,8,67869.00681284952,24792.91,1,0.04400579396056281,0.9559942060394372,0.1870767935848664,565.575056773746,10180.351021927427,Cheerper_Support_4,21-30
73,Cheerper,Support,51,31,28,3,40000.0,11442.716914361274,4,0.5335109639174461,0.4664890360825539,1.0,333.3333333333333,0.0,Cheerper_Support_51,31-40
74,Glasses,Search Engine,29,37,32,5,100042.55278903294,24792.91,2,0.129054148530793,0.870945851469207,0.0,833.6879399086079,15006.38291835494,Glasses_Search Engine_29,31-40
75,Pear,Sales,45,44,45,1,108660.4719294681,13740.781682271272,3,0.4768089036432525,0.5231910963567474,0.8691224283340848,905.5039327455676,0.0,Pear_Sales_45,41-50
76,Cheerper,BigData,28,37,29,8,40000.0,20436.49836537452,1,0.36447893060417336,0.6355210693958266,1.0,333.3333333333333,6000.0,Cheerper_BigData_28,31-40
77,Glasses,Search Engine,1,31,23,8,106224.57241085796,24718.740104657125,1,0.6085279441775702,0.3914720558224298,0.504585139257979,885.2047700904831,15933.685861628694,Glasses_Search Engine_1,31-40
78,Cheerper,BigData,16,37,30,8,88315.5071623847,14716.863951725772,3,0.26652931504031585,0.7334706849596841,0.0,735.9625596865393,13247.326074357705,Cheerper_BigData_16,31-40
79,Glasses,AI,11,33,30,3,91692.10916138365,21471.59320114999,2,0.5102550410629191,0.4897449589370809,0.6265478510563632,764.1009096781971,13753.816374207547,Glasses_AI_11,31-40
80,Cheerper,Support,21,46,37,9,83395.08536837802,16596.98786921701,2,0.0,1.0,0.0,694.9590447364835,12509.262805256702,Cheerper_Support_21,41-50
81,Glasses,Search Engine,30,45,39,6,80287.19113700808,18719.92324137858,2,0.5700633978152103,0.4299366021847897,0.3673436975632912,669.0599261417341,12043.078670551211,Glasses_Search Engine_30,41-50
82,Cheerper,Support,1,34,27,7,94372.99710374452,24589.344084145807,1,0.22963496984661913,0.7703650301533809,0.0,786.4416425312044,14155.949565561677,Cheerper_Support_1,31-40
83,Glasses,Search Engine,1,46,43,3,126732.7596746867,18099.33817325632,2,0.645923656411366,0.3540763435886341,0.3760163910932317,1056.1063306223894,19009.913951203005,Glasses_Search Engine_1,41-50
84,Glasses,AI,36,38,34,5,89259.27102423756,22863.830397686837,2,0.5240703148663438,0.4759296851336562,0.4384651166257297,743.827258535313,13388.890653635633,Glasses_AI_36,31-40
85,Glasses,AI,70,38,41,1,69909.0433094867,16393.496280071726,4,0.1519681901776534,0.8480318098223466,0.8413698454463396,582.5753609123892,0.0,Glasses_AI_70,31-40
86,Pear,Design,63,45,42,3,53854.84960029528,16312.803707508676,3,0.272896431387715,0.727103568612285,1.0,448.790413335794,0.0,Pear_Design_63,41-50
87,Pear,Design,35,40,43,1,125982.20300352464,10783.779788891205,4,0.7409685542545955,0.2590314457454045,0.4151079080526607,1049.8516916960386,0.0,Pear_Design_35,31-40
88,Glasses,Search Engine,67,37,38,1,72323.51261833859,15555.968384586997,5,0.5348465053428049,0.46515349465719513,0.3517228891956812,602.6959384861549,0.0,Glasses_Search Engine_67,31-40
89,Pear,Sales,22,44,40,4,89256.7339485618,24792.91,1,0.2012884170083314,0.7987115829916687,1.0,743.806116238015,13388.51009228427,Pear_Sales_22,41-50
90,Cheerper,BigData,30,36,26,9,63082.79955212339,15230.41022331278,3,0.48829087245866376,0.5117091275413362,0.1480171094429918,525.6899962676949,9462.419932818508,Cheerper_BigData_30,31-40
91,Cheerper,BigData,20,47,46,1,107702.40934129508,12950.434010443198,3,0.3116949945702209,0.6883050054297791,0.3967022030007658,897.5200778441257,0.0,Cheerper_BigData_20,41-50
92,Cheerper,Support,80,30,22,9,40000.0,13228.915791459174,4,0.0,1.0,0.0,333.3333333333333,6000.0,Cheerper_Support_80,21-30
93,Cheerper,Support,11,31,22,9,58791.48418190392,19103.180770062736,3,0.19614339280249438,0.8038566071975056,0.0573893044751384,489.92903484919935,8818.722627285588,Cheerper_Support_11,31-40
94,Pear,Design,46,42,46,1,115849.85275848529,22771.198888483137,2,0.4701870349536314,0.5298129650463685,0.5106083834910712,965.415439654044,0.0,Pear_Design_46,41-50
95,Cheerper,BigData,1,38,27,9,81985.45503875714,13234.425559093275,1,0.0,1.0,0.0,683.2121253229761,12297.81825581357,Cheerper_BigData_1,31-40
96,Cheerper,Support,32,30,22,8,64401.31043674169,24792.91,3,0.0,1.0,0.0,536.6775869728475,9660.196565511253,Cheerper_Support_32,21-30
97,Glasses,Search Engine,23,30,25,3,83281.7994461668,22011.54992856687,3,0.426560032088921,0.573439967911079,0.3065546937272901,694.0149953847234,0.0,Glasses_Search Engine_23,21-30
98,Pear,Design,12,39,37,2,128263.10888477563,15712.240183516724,3,0.8336904836102712,0.1663095163897288,0.4019471417681369,1068.8592407064637,0.0,Pear_Design_12,31-40
99,Pear,Sales,38,47,42,5,116901.88167246392,16349.895149651891,3,1.0,0.0,0.2436391008662932,974.1823472705328,17535.282250869586,Pear_Sales_38,41-50
100,Pear,Sales,45,32,28,4,52767.48076173177,24792.91,1,0.0886474303966801,0.9113525696033199,1.0,439.7290063477648,7915.122114259765,Pear_Sales_45,31-40
101,Cheerper,BigData,5,35,29,6,77884.99493396391,14744.601590939812,4,0.8303641764393376,0.1696358235606624,0.7144072574557152,649.0416244496993,11682.749240094587,Cheerper_BigData_5,31-40
102,Glasses,AI,40,46,45,1,122757.91148584688,14999.448949638278,4,0.8175472711003194,0.18245272889968056,0.0702276506801374,1022.9825957153907,0.0,Glasses_AI_40,41-50
103,Glasses,Design,48,37,34,3,88090.3625448049,18696.07197351609,2,0.4945069887896709,0.5054930112103291,0.2114497165234313,734.0863545400408,13213.554381720734,Glasses_Design_48,31-40
104,Cheerper,BigData,34,44,38,6,82863.03796333126,16857.28275028616,2,0.09158901300870925,0.9084109869912907,0.0,690.5253163610938,12429.455694499688,Cheerper_BigData_34,41-50
105,Cheerper,BigData,22,42,36,6,79480.58087816395,24792.91,1,0.1386919419928554,0.8613080580071446,0.1549546920931356,662.3381739846997,11922.087131724593,Cheerper_BigData_22,41-50
106,Pear,AI,8,31,27,4,74989.03586299553,24047.607128931977,1,0.1784085387219155,0.8215914612780845,0.6810847427420634,624.9086321916294,11248.35537944933,Pear_AI_8,31-40
107,Glasses,Search Engine,28,39,30,8,61995.145711743535,18141.880767711224,2,0.5903909822114328,0.4096090177885671,0.6448925550524636,516.6262142645295,9299.27185676153,Glasses_Search Engine_28,31-40
108,Pear,Design,72,45,42,3,46355.42125663994,15424.618633507853,2,0.5488135039273248,0.45118649607267525,1.0,386.29517713866613,6953.31318849599,Pear_Design_72,41-50
109,Pear,Sales,63,47,46,2,94987.44609286483,18295.86260755893,2,0.7286367255775097,0.2713632744224903,0.8876135205513074,791.5620507738736,0.0,Pear_Sales_63,41-50
110,Glasses,Search Engine,52,38,39,1,40000.0,16295.187500287731,4,0.5488135039273248,0.45118649607267525,1.0,333.3333333333333,0.0,Glasses_Search Engine_52,31-40
111,Glasses,AI,35,36,31,5,83083.13053942042,10806.451821244216,4,0.5875131959507198,0.4124868040492802,0.3579395903443998,692.359421161837,12462.469580913063,Glasses_AI_35,31-40
112,Glasses,AI,6,30,26,4,118386.73863055489,22937.66090843875,3,0.8267814634693773,0.1732185365306227,0.0,986.5561552546242,17758.01079458323,Glasses_AI_6,21-30
113,Pear,Design,20,41,40,1,115033.53180214348,19230.312493798137,3,0.7283814111512672,0.2716185888487328,0.401431201992133,958.6127650178623,0.0,Pear_Design_20,41-50
114,Pear,Design,52,36,35,1,88028.29872869274,16946.429778778343,3,0.3808384707664929,0.6191615292335071,0.7489952057980633,733.5691560724395,0.0,Pear_Design_52,31-40
115,Glasses,Design,6,39,34,5,104176.47617033256,20691.272083369888,1,0.295067998997144,0.704932001002856,0.681331565671217,868.1373014194381,15626.471425549884,Glasses_Design_6,31-40
116,Glasses,Search Engine,9,30,22,8,101312.0445739964,19295.47670082676,3,0.9093892960369954,0.09061070396300464,0.0,844.2670381166367,15196.80668609946,Glasses_Search Engine_9,21-30
117,Glasses,AI,57,40,41,1,73130.1914132948,17463.722566987966,3,0.7297569558875032,0.2702430441124967,0.7459804408076448,609.4182617774567,0.0,Glasses_AI_57,31-40
118,Cheerper,Support,49,35,34,2,76193.75466709792,17302.95275168213,5,0.0,1.0,0.0,634.9479555591494,0.0,Cheerper_Support_49,31-40
119,Glasses,Search Engine,80,49,48,2,46321.27212249114,22585.60695020381,1,0.3151937570099572,0.6848062429900428,0.7167395573467749,386.01060102075945,6948.1908183736705,Glasses_Search Engine_80,41-50
120,Cheerper,AI,1,40,31,9,148934.5868863676,22207.125090432357,1,1.0,0.0,0.0,1241.1215573863967,22340.18803295514,Cheerper_AI_1,31-40
121,Cheerper,Support,25,41,34,7,63755.95035347491,20349.524624698035,1,0.009857889139594622,0.9901421108604054,0.1944528008498228,531.2995862789576,9563.392553021236,Cheerper_Support_25,41-50
122,Glasses,Search Engine,51,39,32,7,66503.68219727444,9892.236278551523,5,0.35469708380327136,0.6453029161967286,0.0,554.1973516439537,9975.552329591164,Glasses_Search Engine_51,31-40
123,Pear,Design,1,31,22,8,125567.10671314406,21018.212874662386,2,0.9934319280931284,0.0065680719068715865,0.1618848534998463,1046.3925559428674,18835.06600697161,Pear_Design_1,31-40
124,Pear,Design,39,49,48,1,114783.6985016603,24598.39313889149,1,0.6790431634465708,0.3209568365534292,0.5119118971375431,956.5308208471693,0.0,Pear_Design_39,41-50
125,Cheerper,BigData,37,49,48,1,87379.25337603394,17385.10911939411,2,0.788585232351871,0.2114147676481291,0.7883592363692365,728.1604448002828,0.0,Cheerper_BigData_37,41-50
126,Glasses,BigData,69,48,48,1,69363.73608504931,9000.0,5,0.7399719337234453,0.2600280662765547,0.6077031612095318,578.0311340420776,0.0,Glasses_BigData_69,41-50
127,Cheerper,Support,70,38,37,1,40000.0,21440.71476078376,3,0.31187766294021446,0.6881223370597855,0.7739074389448886,333.3333333333333,0.0,Cheerper_Support_70,31-40
128,Glasses,Search Engine,1,30,22,9,90279.28895042917,12051.836178167105,4,0.6474874931068304,0.3525125068931696,0.0,752.327407920243,13541.893342564375,Glasses_Search Engine_1,21-30
129,Glasses,Design,25,31,22,9,89853.59036781928,20998.67080098508,1,0.8120882594686796,0.18791174053132043,0.0,748.7799197318274,13478.038555172892,Glasses_Design_25,31-40
130,Glasses,Design,35,35,26,9,96590.35959448168,14872.40992640443,4,1.0,0.0,0.0,804.9196632873474,14488.55393917225,Glasses_Design_35,31-40
131,Cheerper,BigData,18,30,22,9,48692.06956322028,20561.19220783277,2,0.0,1.0,0.0,405.76724636016894,7303.810434483042,Cheerper_BigData_18,21-30
132,Cheerper,Search Engine,1,33,26,7,108144.32574364723,23062.358938485384,2,0.33170725571654247,0.6682927442834575,0.0873963414165148,901.2027145303937,16221.648861547084,Cheerper_Search Engine_1,31-40
133,Glasses,AI,32,42,44,1,97880.06191876832,24792.91,2,0.6224528763815398,0.3775471236184602,0.7922716879252496,815.6671826564026,0.0,Glasses_AI_32,41-50
134,Cheerper,Support,27,32,26,6,52049.622830566645,17338.552546910516,4,0.08231105211867085,0.9176889478813292,0.1591429677852677,433.74685692138877,7807.443424584996,Cheerper_Support_27,31-40
135,Glasses,AI,7,38,33,5,79103.84526483648,20788.3126050048,2,0.743872231136426,0.256127768863574,0.8639105700523468,659.198710540304,11865.576789725472,Glasses_AI_7,31-40
136,Glasses,BigData,37,34,30,4,75574.390290526,23809.626389542016,3,0.529971020663824,0.470028979336176,0.0721401901229097,629.7865857543834,11336.1585435789,Glasses_BigData_37,31-40
137,Glasses,AI,27,49,48,1,124974.81378379752,23699.701470521388,1,0.881058199593791,0.118941800406209,0.8354257275982344,1041.4567815316461,0.0,Glasses_AI_27,41-50
138,Pear,Sales,55,41,37,4,100690.59174366796,24792.91,1,0.6304747436448543,0.36952525635514566,0.0220127829287583,839.0882645305664,15103.588761550192,Pear_Sales_55,41-50
139,Glasses,Search Engine,42,32,27,6,58747.21423089444,22170.11874397344,1,0.18944255508953334,0.8105574449104667,0.2708535404505095,489.560118590787,8812.082134634165,Glasses_Search Engine_42,31-40
140,Glasses,Search Engine,55,35,31,4,42584.4532301564,12983.334601825336,5,0.4276568045561127,0.5723431954438873,0.8182068625762973,354.8704435846367,0.0,Glasses_Search Engine_55,31-40
141,Pear,Design,21,30,24,5,73987.82330499672,22171.0120352624,2,0.2589703353271647,0.7410296646728354,0.6477569113468664,616.565194208306,11098.173495749508,Pear_Design_21,21-30
142,Glasses,Search Engine,1,30,22,6,95776.3996567459,24792.91,1,0.2412059562909571,0.7587940437090429,0.5972410287525614,798.1366638062159,14366.459948511883,Glasses_Search Engine_1,21-30
143,Pear,Sales,46,41,43,1,114098.73842635978,17456.932000284927,3,0.8809681991938667,0.11903180080613329,0.876070466567695,950.8228202196648,0.0,Pear_Sales_46,41-50
144,Glasses,AI,46,49,48,2,96508.69389465053,11903.165398397634,4,0.3912765970669748,0.6087234029330252,0.4236256137248567,804.2391157887545,0.0,Glasses_AI_46,41-50
145,Glasses,Search Engine,43,41,40,1,86820.34560456166,14420.767957218868,4,0.406669708188294,0.593330291811706,0.5200899514978007,723.5028800380138,0.0,Glasses_Search Engine_43,41-50
146,Glasses,Search Engine,40,44,41,2,54455.71639560565,17959.278345412793,3,0.5488135039273248,0.45118649607267525,1.0,453.79763663004707,0.0,Glasses_Search Engine_40,41-50
147,Pear,Sales,1,30,22,9,141689.02741686045,24792.91,1,0.9493530706730706,0.05064692932692938,0.0,1180.7418951405039,21253.35411252907,Pear_Sales_1,21-30
148,Glasses,AI,13,31,26,5,66261.45404311184,24392.22048373558,1,0.7760510821496995,0.2239489178503005,0.8506810221586445,552.1787836925987,9939.218106466775,Glasses_AI_13,31-40
149,Cheerper,BigData,1,33,30,3,96427.10833426836,15078.35445904587,4,0.56830665364623,0.43169334635377,0.4266173086603372,803.559236118903,0.0,Cheerper_BigData_1,31-40
150,Glasses,Design,17,42,34,8,107975.59553102676,17306.107231109938,2,0.7658249532008734,0.2341750467991266,0.1451139782874747,899.7966294252232,16196.339329654013,Glasses_Design_17,41-50
151,Glasses,AI,38,31,25,6,100850.95985934304,22282.21313327311,3,0.985326610319486,0.014673389680514015,0.0,840.4246654945255,15127.643978901455,Glasses_AI_38,31-40
152,Pear,Sales,50,32,26,6,55948.0958720465,24792.91,1,0.8497925530788134,0.1502074469211866,0.8285699854161926,466.23413226705424,8392.214380806974,Pear_Sales_50,31-40
